PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Casual,2019-07-01,00:15:10,Normal Thursday,2.6,45.5205931,-122.637238,45.5161463,-122.6790375
Casual,2019-07-01,00:16:27,Normal Thursday,2.33,45.53232501,-122.6824299,45.51147657,-122.6662856
Casual,2019-07-01,00:17:10,Normal Thursday,2.71,45.55335313,-122.6669146,45.52862062,-122.6905073
Casual,2019-07-01,00:16:26,Normal Thursday,1.9,45.52871176,-122.674166,45.5367755,-122.7068868
Casual,2019-07-01,00:24:40,Normal Thursday,3.09,45.55076344,-122.6668663,45.5175854,-122.6759187
Subscriber,2019-07-01,00:18:17,Normal Thursday,1.89,45.53211645,-122.6986304,45.5211726,-122.6763654
Casual,2019-07-01,00:14:48,Normal Thursday,1.77,45.532572,-122.7027475,45.5212282,-122.6837964
Casual,2019-07-01,00:14:28,Normal Thursday,2.18,45.522793,-122.684012,45.49913657,-122.6716433
Casual,2019-07-01,00:12:22,Normal Thursday,1.07,45.508028,-122.6819378,45.518016,-122.6831949
Subscriber,2019-07-01,00:11:35,Normal Thursday,1.47,45.53140997,-122.6574612,45.5173913,-122.6607569
Casual,2019-07-01,00:05:22,Normal Thursday,0.59,45.52634601,-122.6941484,45.53142501,-122.6895659
Casual,2019-07-01,00:19:47,Normal Thursday,2.58,45.5313884,-122.689548,45.52269573,-122.6703492
Casual,2019-07-01,00:38:35,Normal Thursday,3.21,45.512867,-122.67487,45.512867,-122.67487
Casual,2019-07-01,00:37:08,Normal Thursday,3.13,45.512867,-122.67487,45.512867,-122.67487
Casual,2019-07-01,00:12:39,Normal Thursday,1.77,45.51202353,-122.6363119,45.51515295,-122.665776
Casual,2019-07-01,00:13:59,Normal Thursday,2.08,45.53496857,-122.653631,45.53715171,-122.6881027
Casual,2019-07-01,00:02:40,Normal Thursday,0.28,45.5591109,-122.5978085,45.562507,-122.59437
Subscriber,2019-07-01,00:48:11,Normal Thursday,0.83,45.5282107,-122.673371,45.53080401,-122.6844227
Casual,2019-07-01,00:38:15,Normal Thursday,2.82,45.5315127,-122.6824564,45.559116,-122.6848636
Casual,2019-07-01,00:28:01,Normal Thursday,2.8,45.53083126,-122.6815957,45.559116,-122.6848636
Subscriber,2019-07-01,00:02:08,Normal Thursday,0.12,45.522793,-122.684012,45.5250657,-122.684239
Casual,2019-07-01,00:04:31,Normal Thursday,0.53,45.51645917,-122.6189983,45.5120577,-122.6245
Casual,2019-07-01,00:16:26,Normal Thursday,1.43,45.51782551,-122.6724963,45.49913657,-122.6716433
Subscriber,2019-07-01,00:06:39,Normal Thursday,0.67,45.50512504,-122.6533681,45.50624163,-122.6633379
Subscriber,2019-07-01,00:09:11,Normal Thursday,2.18,45.5161463,-122.6790375,45.50624163,-122.6633379
Subscriber,2019-07-01,00:23:52,Normal Thursday,3.7,45.5591196,-122.6575537,45.51936283,-122.6359928
