NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03424873,2,65,2,1,2,20,4,05,NA,2,2,18000,1
03424883,1,31,2,1,1,36,1,10,NA,2,2,NA,1
03424883,2,29,1,1,1,45,5,10,NA,2,NA,NA,2
03424883,3,7,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424883,4,6,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424883,5,6,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424883,6,5,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424893,1,32,1,1,4,9,1,10,NA,1,2,360,1
03424893,2,30,2,1,2,18,1,10,NA,1,2,4000,1
03424893,3,5,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424893,4,2,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424923,1,38,2,1,1,40,1,10,NA,2,2,NA,1
03424923,2,13,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03424923,3,33,2,1,1,40,1,10,NA,2,2,35000,1
03424993,2,4,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424993,3,4,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424993,4,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424993,5,23,2,1,3,35,1,06,NA,1,2,6000,1
03425023,1,60,1,1,2,15,5,05,NA,1,NA,NA,2
03425073,1,74,1,1,4,30,5,07,NA,1,2,2500,2
03425073,2,59,2,1,1,40,1,01,NA,1,2,52000,1
03425083,1,27,1,1,2,20,3,02,NA,4,2,18000,1
03425093,1,51,2,1,1,50,1,03,NA,2,2,60000,1
03425093,2,54,1,1,1,72,1,11,NA,2,1,70000,1
03425103,1,69,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03425103,2,68,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03425133,1,82,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03425163,1,24,2,1,2,30,1,06,4,1,2,16536,1
03425163,2,28,1,1,2,20,1,06,4,1,2,9984,1
03425163,3,18,1,1,4,20,1,06,4,1,2,NA,1
03425163,4,3,1,NA,NA,NA,NA,,4,1,NA,NA,NA
03425163,5,5,1,NA,NA,NA,NA,,4,1,NA,NA,NA
03425183,1,54,2,1,3,48,4,02,NA,1,2,80000,1
03425183,2,53,1,1,1,45,1,03,NA,1,2,90000,1
03425183,3,26,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03425183,4,22,2,1,4,6,3,10,NA,1,2,NA,1
03425193,1,34,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03425193,2,34,1,1,1,50,1,01,NA,1,2,41000,1
03425193,3,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03425193,4,3,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03425203,1,59,1,1,1,40,2,03,NA,1,1,90394,1
03425203,2,59,2,2,NA,NA,NA,,NA,1,NA,NA,NA
